"GroupID","SubjectID","TimePoint","Score"
1,1,1,1.44705807751981
1,1,2,3.05420384935036
1,1,3,5.11903388751798
1,1,4,6.70832721291167
1,1,5,7.72672053979447
1,1,6,9.33623761232476
1,1,7,11.2891670573039
1,1,8,12.8447486007683
1,1,9,14.3943460825796
1,2,1,2.74029323182176
1,2,2,4.1368936947899
1,2,3,6.01114484775046
1,2,4,7.46013662122958
1,2,5,9.33930486905574
1,2,6,10.7445313165173
1,2,7,12.1042028972163
1,2,8,13.4761494715741
1,2,9,15.3638486048719
1,3,1,2.92855878917191
1,3,2,3.92518963001777
1,3,3,5.09304627496706
1,3,4,5.95717176025329
1,3,5,7.7807542346576
1,3,6,8.83904145059523
1,3,7,9.86018531279512
1,3,8,11.4611887875869
1,3,9,12.2627592892264
1,4,1,1.68208225789064
1,4,2,3.57938154653892
1,4,3,4.91650898359325
1,4,4,7.04644496504799
1,4,5,8.66624899445296
1,4,6,11.1988432565853
1,4,7,12.71045531654
1,4,8,14.691059017041
1,4,9,16.4562777848852
1,5,1,0.485383193094937
1,5,2,1.37392611453803
1,5,3,3.17081467732771
1,5,4,4.59119653775067
1,5,5,5.6826885976974
1,5,6,6.89129911744695
1,5,7,7.79120014008296
1,5,8,9.20563166465427
1,5,9,10.8334853817056
1,6,1,0.634576128517585
1,6,2,1.83528086339293
1,6,3,2.26681794539975
1,6,4,3.21991656437627
1,6,5,4.20294257944087
1,6,6,4.8667393987473
1,6,7,5.66205626034374
1,6,8,6.56372036797429
1,6,9,7.33192881800282
1,7,1,3.02372594885165
1,7,2,4.26718726990387
1,7,3,5.90615570804307
1,7,4,6.99463791807512
1,7,5,8.48678839248061
1,7,6,9.38485822734931
1,7,7,10.7957857095364
1,7,8,12.0530908851978
1,7,9,13.6373714159392
1,8,1,1.86879513990252
1,8,2,2.83534562443571
1,8,3,4.12536410214999
1,8,4,5.25247461981676
1,8,5,5.81310355674817
1,8,6,7.10488177219078
1,8,7,8.38003757211613
1,8,8,9.46112426818179
1,8,9,10.578262818464
1,9,1,1.119866470378
1,9,2,2.34407749392609
1,9,3,3.56870136847571
1,9,4,4.91899302280238
1,9,5,5.92563502844699
1,9,6,7.25798748280573
1,9,7,8.26482068067763
1,9,8,9.22883193500221
1,9,9,10.5855342762295
1,10,1,2.11025708126418
1,10,2,2.87979504948568
1,10,3,3.98627482866274
1,10,4,5.03666444831781
1,10,5,5.76145867487417
1,10,6,7.10463311988616
1,10,7,7.99363912519439
1,10,8,9.18970116606783
1,10,9,10.1313333962884
1,11,1,1.41803127660806
1,11,2,3.29696465569326
1,11,3,4.66846541969261
1,11,4,6.23802445115252
1,11,5,7.77254673918712
1,11,6,9.39815206816817
1,11,7,10.7228529096865
1,11,8,12.4044381483314
1,11,9,13.9566146213418
1,12,1,1.84575973706069
1,12,2,3.53939145242633
1,12,3,5.3384190387516
1,12,4,6.97686722936439
1,12,5,8.41169345445872
1,12,6,10.2727868461651
1,12,7,11.6736607789452
1,12,8,13.9381423832796
1,12,9,15.651103389614
1,13,1,-0.883807077468166
1,13,2,0.427467438797427
1,13,3,1.72336913542095
1,13,4,3.09087657258379
1,13,5,4.14811283824969
1,13,6,5.22645600312516
1,13,7,6.34706139979076
1,13,8,7.73580895377004
1,13,9,8.89996761987467
1,14,1,1.0240609243746
1,14,2,2.52413105317022
1,14,3,3.53441011591364
1,14,4,5.30061281570314
1,14,5,6.20427869747388
1,14,6,7.62654809055831
1,14,7,8.9697988450564
1,14,8,10.094906981709
1,14,9,11.431033392269
1,15,1,-0.0858622492879967
1,15,2,0.427036556250864
1,15,3,0.953058181588274
1,15,4,1.356768792237
1,15,5,1.65064028147838
1,15,6,2.19289001972375
1,15,7,2.28096526897366
1,15,8,3.17753344527041
1,15,9,3.47819352210477
1,16,1,1.62905677581092
1,16,2,2.80503113799427
1,16,3,4.76043992988335
1,16,4,5.57776149812882
1,16,5,7.3827721781424
1,16,6,8.42746364969713
1,16,7,10.8510631498614
1,16,8,12.0366114248986
1,16,9,13.1543713999761
1,17,1,0.630707118978229
1,17,2,2.19196455537051
1,17,3,3.98357709964579
1,17,4,5.76158409409076
1,17,5,7.63197651369421
1,17,6,9.68875917069067
1,17,7,11.9843558023669
1,17,8,13.5343756080604
1,17,9,15.2481215584531
1,18,1,-0.498332443221645
1,18,2,0.429149929201528
1,18,3,1.46601842439648
1,18,4,2.70611086239357
1,18,5,3.76200381444186
1,18,6,4.91957830581058
1,18,7,6.14424110837391
1,18,8,7.27502060033332
1,18,9,8.45604580892283
1,19,1,0.20557952649962
1,19,2,1.58126371516109
1,19,3,2.88413502578895
1,19,4,3.71613058752238
1,19,5,4.92352440727034
1,19,6,6.04873429825973
1,19,7,7.63195147547173
1,19,8,8.6506962617558
1,19,9,9.99290928785927
1,20,1,2.06273536772279
1,20,2,3.56764113306675
1,20,3,5.49380345542639
1,20,4,7.41312274497861
1,20,5,9.54980994871246
1,20,6,10.6317360322338
1,20,7,12.7751038414884
1,20,8,14.6139730710254
1,20,9,16.3611770661086
1,21,1,1.16088370735944
1,21,2,3.07027099102058
1,21,3,4.63945207478935
1,21,4,6.73872068214286
1,21,5,8.52624508017158
1,21,6,10.2350018644327
1,21,7,11.9943649547403
1,21,8,13.445772341833
1,21,9,15.7997645019075
1,22,1,1.22724998606777
1,22,2,3.08522688536573
1,22,3,4.52496084841017
1,22,4,6.21788352555261
1,22,5,7.80515761133343
1,22,6,9.60772270530119
1,22,7,10.9927822940223
1,22,8,12.8484744417586
1,22,9,14.3641453552541
1,23,1,1.569232520427
1,23,2,3.17980207867876
1,23,3,5.27836649461849
1,23,4,7.16093266722843
1,23,5,9.04756778654485
1,23,6,10.8123734184779
1,23,7,12.3868368241372
1,23,8,15.1414842949595
1,23,9,16.407549672854
1,24,1,1.45372191961235
1,24,2,2.89612386545932
1,24,3,4.69556590140796
1,24,4,5.9113764575233
1,24,5,7.73339904516023
1,24,6,9.31470058653183
1,24,7,10.6438543068122
1,24,8,12.0093550807618
1,24,9,13.3732968704628
1,25,1,0.325035739730654
1,25,2,1.59405602780981
1,25,3,2.7228730117639
1,25,4,3.5524412805145
1,25,5,4.6064831673524
1,25,6,6.00834720847177
1,25,7,6.54204432583257
1,25,8,7.67724254232712
1,25,9,8.82058495117084
1,26,1,1.05060430226309
1,26,2,2.44545830243891
1,26,3,4.26112282625417
1,26,4,6.02588712768086
1,26,5,8.51407686421792
1,26,6,9.75376947779377
1,26,7,11.4114432346936
1,26,8,13.7133561832589
1,26,9,15.6037960167414
1,27,1,4.09037218676559
1,27,2,5.85065534454011
1,27,3,7.00732428894414
1,27,4,8.80585875819595
1,27,5,10.7234670330011
1,27,6,12.3618784794029
1,27,7,14.1726524625819
1,27,8,15.7068193009629
1,27,9,17.5428317667212
1,28,1,-0.852203084828937
1,28,2,-0.00894668797992738
1,28,3,1.09291066898376
1,28,4,2.05205700129541
1,28,5,2.72873622295615
1,28,6,3.48115574628534
1,28,7,4.76440990067111
1,28,8,6.29090122245201
1,28,9,6.82126516820647
1,29,1,0.282989839938202
1,29,2,2.79770031345783
1,29,3,4.68031177736578
1,29,4,6.85390873354859
1,29,5,8.91410203838226
1,29,6,10.9410754511043
1,29,7,13.1803792820461
1,29,8,15.6053623668679
1,29,9,17.4632753361968
1,30,1,2.05278457688555
1,30,2,2.50475015305411
1,30,3,3.58213372541954
1,30,4,4.71514657989259
1,30,5,5.75354382812468
1,30,6,7.18356832827067
1,30,7,7.74758429636665
1,30,8,9.13287229084812
1,30,9,10.0909092793361
1,31,1,1.1367202852982
1,31,2,2.60787764905548
1,31,3,3.72139405574974
1,31,4,5.24991976627058
1,31,5,7.32001128431375
1,31,6,8.54518450912914
1,31,7,9.8907244354979
1,31,8,11.8694080089383
1,31,9,13.3227226647598
1,32,1,2.23075588409522
1,32,2,3.84608886435519
1,32,3,5.31981205762286
1,32,4,6.49929635529727
1,32,5,7.48229033539781
1,32,6,9.44686872947775
1,32,7,10.7139309423801
1,32,8,11.7538835747935
1,32,9,13.1948938669985
1,33,1,0.660818322295092
1,33,2,2.31414878702733
1,33,3,4.19789139943201
1,33,4,5.63721453960377
1,33,5,7.43484307858594
1,33,6,8.84142362870474
1,33,7,10.8835988547562
1,33,8,12.2683230068127
1,33,9,14.2838783151093
1,34,1,0.807304823690573
1,34,2,2.38459343830674
1,34,3,3.62865183934872
1,34,4,4.83557464492648
1,34,5,5.97093854374924
1,34,6,7.02954064133818
1,34,7,8.33775327839125
1,34,8,9.51542467221979
1,34,9,10.5080544147016
1,35,1,2.06424222853074
1,35,2,3.56628644851966
1,35,3,5.54060065500979
1,35,4,7.51680406311266
1,35,5,9.10454583117073
1,35,6,10.7999713515482
1,35,7,12.5269335126497
1,35,8,14.2283793075927
1,35,9,15.5230988960875
1,36,1,2.45074625767339
1,36,2,4.94237158466802
1,36,3,6.5113590956074
1,36,4,8.80076789296652
1,36,5,10.9979722885607
1,36,6,13.0057958860445
1,36,7,15.2966074347871
1,36,8,17.2006951786337
1,36,9,19.6134007865648
1,37,1,0.313048357774313
1,37,2,0.71686249198491
1,37,3,2.34155527522572
1,37,4,2.90570967984229
1,37,5,3.98774731720527
1,37,6,4.93177865177747
1,37,7,5.74389034323209
1,37,8,7.05121666417238
1,37,9,8.04458329015529
1,38,1,1.65913397111143
1,38,2,2.25539811018285
1,38,3,2.61897874955466
1,38,4,3.80910883649614
1,38,5,4.32474324903388
1,38,6,4.90150940159575
1,38,7,5.37686037164823
1,38,8,6.51184015076813
1,38,9,6.89807932281474
1,39,1,0.396729717326226
1,39,2,2.38683539297972
1,39,3,3.47220635463301
1,39,4,4.79378301485844
1,39,5,6.66151931971435
1,39,6,7.46928085497117
1,39,7,8.84996467538743
1,39,8,10.0133892849756
1,39,9,11.8712262972317
1,40,1,0.647308485445454
1,40,2,2.44298519842384
1,40,3,3.94743737068854
1,40,4,5.45695161058591
1,40,5,7.22479310524018
